sep=\t
Module Resource Usage Distribution Estimates
Generated at: Mar 22, 2026 22:04:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      ADDs	      LUTs	      RAMs	 DSP/MULTs
DSO_project:DSO_project                                     	   734(8)	   249(0)	   970(2)	    19(0)	     4(0)	
 +u_key_debouncer:key_debouncer                             	   35(35)	   19(19)	   12(12)	     0(0)	     0(0)	
 +u_hmi_controller:hmi_controller                           	   75(75)	     0(0)	 149(149)	     0(0)	     0(0)	
 +u_dds_a:dds_generator                                     	   40(40)	   34(34)	   23(23)	     1(0)	     0(0)	
  +u_sine_lut:sine_lut                                      	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
 +u_dds_b:dds_generator                                     	   40(40)	   34(34)	   23(23)	     1(0)	     0(0)	
  +u_sine_lut:sine_lut                                      	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
 +u_dds_c:dds_generator                                     	   40(40)	   34(34)	   23(23)	     1(0)	     0(0)	
  +u_sine_lut:sine_lut                                      	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
 +u_dds_d:dds_generator                                     	   40(40)	   34(34)	   23(23)	     1(0)	     0(0)	
  +u_sine_lut:sine_lut                                      	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
 +u_dds_e:dds_generator                                     	   40(40)	   34(34)	   23(23)	     1(0)	     0(0)	
  +u_sine_lut:sine_lut                                      	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
 +u_sample_controller:sample_controller                     	 192(192)	   31(31)	 307(307)	     0(0)	     0(0)	
 +u_pingpong_buffer:pingpong_buffer                         	 138(138)	     0(0)	   97(95)	    14(0)	     0(0)	
  +u_pingpong_bram_bank0:pingpong_bram_refact               	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
   +u_efx_bram:efx_bram_51815ffeef0f44eba271f86e9840c16a_renamed_due_excessive_length_1	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_51815ffeef0f44eba271f86e9840c16a_renamed_due_excessive_length_2	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
     +brams:dpram_wrapper_mwm_51815ffeef0f44eba271f86e9840c16a_renamed_due_excessive_length_3	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
